#,Product Name,Category,Size / Format,Competitor Retail (CAD),Stores Carrying,Demand Signal,Notes
,,,,,,
,=== RECOVERY & HEALING ===,,,,,
1,BPC-157,Recovery & Healing,5mg vial,$49–$65,4/4,⭐ Best Seller,Core SKU — every store carries
2,BPC-157,Recovery & Healing,10mg vial,$65–$99,3/4,⭐ Best Seller,Larger size — PeptidePro best seller
3,TB-500,Recovery & Healing,5mg vial,$59–$69,4/4,⭐ Best Seller,Core SKU
4,TB-500,Recovery & Healing,10mg vial,$65–$165,3/4,⭐,Larger size
5,BPC-157 / TB-500 Blend,Recovery & Healing,10mg vial (5+5),$89–$99,4/4,⭐ Best Seller,Wolverine Stack — every store carries
6,BPC-157 / TB-500 Blend,Recovery & Healing,20mg vial (10+10),$150–$225,2/4,Popular,Larger blend
7,GLOW Blend (BPC+TB+GHK-Cu),Recovery & Healing,30mg vial,$94–$250,3/4,🔥 Trending,Featured on 3/4 competitor homepages
8,KLOW Blend (BPC+TB+KPV+GHK-Cu),Recovery & Healing,40mg vial,$99–$275,3/4,🔥 Trending,Featured on 3/4 competitor homepages
9,KPV,Recovery & Healing,5mg vial,$44–$65,3/4,⭐,Anti-inflammatory tripeptide
10,KPV,Recovery & Healing,10mg vial,$65–$99,2/4,Popular,Larger size
11,TB-500 Frag 17-23,Recovery & Healing,5mg vial,$59,1/4,Niche,Fragment version — PeptideWarehouse
12,Pentadecarginine (BPC-157 Arginine Salt),Recovery & Healing,5mg vial,$74.99,0/4,Unique,No competitor carries — differentiator
,,,,,,
,=== MUSCLE & GROWTH ===,,,,,
13,CJC-1295 NO DAC,Muscle & Growth,5mg vial,$42–$69,4/4,⭐ Best Seller,Core GHRH peptide
14,CJC-1295 NO DAC,Muscle & Growth,10mg vial,$50–$115,3/4,⭐,Larger size
15,CJC-1295 WITH DAC,Muscle & Growth,2mg vial,$42.99,1/4,Medium,Longer half-life version
16,Ipamorelin,Muscle & Growth,5mg vial,$55–$80,4/4,⭐ Best Seller,Core GHRP
